ID,Image_Path,GT_Label,Pred_Label,Risk_Score,Reason,Score_Ch1,Score_Ch2,Score_Ch3
1,data/images/TA_001.jpg,,1,0.9537553191184998,Ch1:Physical Tamper(0.95),0.954,0.252,0.1
2,data/images/TA_002.jpg,1.0,1,1.0,Ch1:Physical Tamper(0.96) | Ch3:Logic Conflict(1.00),0.961,0.285,1.0
3,data/images/TA_003.jpg,1.0,1,0.8608468174934387,Ch1:Physical Tamper(0.86) | Ch3:Logic Conflict(0.80),0.861,0.267,0.8
4,data/images/TA_004.jpg,,1,0.9062841534614563,Ch1:Physical Tamper(0.91) | Ch3:Logic Conflict(0.80),0.906,0.276,0.8
5,data/images/TA_005.jpg,,1,0.5258998870849609,Ch1:Physical Tamper(0.53),0.526,0.284,0.3
6,data/images/TP_001.jpg,,1,1.0,Ch1:Physical Tamper(0.86) | Ch3:Logic Conflict(1.00),0.859,0.317,1.0
7,data/images/TP_002.jpg,,1,0.9772182703018188,Ch1:Physical Tamper(0.98),0.977,0.323,0.2
8,data/images/TP_003.jpg,,1,1.0,Ch1:Physical Tamper(0.99) | Ch3:Logic Conflict(1.00),0.989,0.237,1.0
9,data/images/TP_004.jpg,,1,0.9991424083709717,Ch1:Physical Tamper(1.00),0.999,0.244,0.5
10,data/images/TP_005.jpg,,1,0.9992485642433167,Ch1:Physical Tamper(1.00),0.999,0.274,0.5
11,data/images/TP_006.jpg,,1,1.0,Ch1:Physical Tamper(0.52) | Ch3:Logic Conflict(1.00),0.523,0.236,1.0
12,data/images/TP_007.jpg,,0,0.0,Consistent,0.0,0.3,0.0
13,data/images/TP_008.jpg,,1,0.9954677820205688,Ch1:Physical Tamper(1.00),0.995,0.245,0.1
14,,,0,0.0,Consistent,0.0,0.3,0.0
15,,,0,0.0,Consistent,0.0,0.3,0.0
16,,,0,0.0,Consistent,0.0,0.3,0.0
17,,,0,0.0,Consistent,0.0,0.3,0.0
18,,,0,0.0,Consistent,0.0,0.3,0.0
19,,,0,0.0,Consistent,0.0,0.3,0.0
20,,,0,0.0,Consistent,0.0,0.3,0.0
21,,,0,0.0,Consistent,0.0,0.3,0.0
22,,,0,0.0,Consistent,0.0,0.3,0.0
23,,,0,0.0,Consistent,0.0,0.3,0.0
24,,,0,0.0,Consistent,0.0,0.3,0.0
25,data/images/M_panda_001.jpg,,1,1.0,Ch1:Physical Tamper(0.56) | Ch2:Semantic Mismatch(0.19) | Ch3:Logic Conflict(1.00),0.558,0.19,1.0
26,data/images/M_forestfire_002.jpg,,1,1.0,Ch1:Physical Tamper(0.94) | Ch2:Semantic Mismatch(0.19) | Ch3:Logic Conflict(1.00),0.941,0.188,1.0
27,data/images/M_park_003.jpg,,1,1.0,Ch1:Physical Tamper(0.51) | Ch2:Semantic Mismatch(0.19) | Ch3:Logic Conflict(1.00),0.508,0.194,1.0
28,data/images/M_spaceman004.jpg,,0,0.0,Consistent,0.0,0.3,0.0
29,data/images/M_dessert005.jpg,,0,0.0,Consistent,0.0,0.3,0.0
30,data/images/M_jet006.jpg,,0,0.0,Consistent,0.0,0.3,0.0
31,data/images/R_xizang_001.jpg,,0,0.0,Consistent,0.0,0.3,0.0
32,data/images/R_work_002.jpg,,0,0.0,Consistent,0.0,0.3,0.0
33,data/images/R_eason_003.jpg,,0,0.0,Consistent,0.0,0.3,0.0
34,data/images/R_changcheng_004.jpg,,0,0.0,Consistent,0.0,0.3,0.0
35,data/images/R_light_005.jpg,,0,0.0,Consistent,0.0,0.3,0.0
36,data/images/R_fireshow_006.jpg,,0,0.0,Consistent,0.0,0.3,0.0
37,data/images/R_mall_007.jpg,,0,0.0,Consistent,0.0,0.3,0.0
38,data/images/R_ice_008.jpg,,0,0.0,Consistent,0.0,0.3,0.0
39,data/images/R_cunchao_009.jpg,,0,0.0,Consistent,0.0,0.3,0.0
40,data/images/R_sheep_010.jpg,,0,0.0,Consistent,0.0,0.3,0.0
41,data/images/LW_001.jpg,1.0,1,1.0,Ch1:Physical Tamper(0.80) | Ch3:Logic Conflict(1.00),0.803,0.262,1.0
42,data/images/LW_002.jpg,1.0,1,0.7071624398231506,Ch1:Physical Tamper(0.71),0.707,0.265,0.1
43,data/images/LW_003.jpg,1.0,1,1.0,Ch3:Logic Conflict(1.00),0.355,0.259,1.0
44,data/images/LW_004.jpg,1.0,1,0.5392623543739319,Ch1:Physical Tamper(0.54),0.539,0.224,0.1
45,data/images/LW_005.jpg,1.0,0,0.0,Consistent,0.386,0.228,0.1
46,data/images/LW_006.jpg,1.0,1,0.9,Ch2:Semantic Mismatch(0.21),0.387,0.206,0.1
47,data/images/time/LT_001.jpg,1.0,1,0.972367525100708,Ch1:Physical Tamper(0.97) | Ch2:Semantic Mismatch(0.17),0.972,0.174,0.1
48,data/images/time/LT_002.jpg,1.0,1,0.9,Ch1:Physical Tamper(0.82) | Ch2:Semantic Mismatch(0.22) | Ch3:Logic Conflict(0.90),0.82,0.218,0.9
49,data/images/time/LT_003.jpg,1.0,1,1.0,Ch1:Physical Tamper(1.00) | Ch2:Semantic Mismatch(0.18) | Ch3:Logic Conflict(1.00),1.0,0.176,1.0
50,data/images/quantity/LN_001.jpg,1.0,1,0.9936360120773315,Ch1:Physical Tamper(0.99),0.994,0.268,0.1
51,data/images/quantity/LN_002.jpg,1.0,1,1.0,Ch2:Semantic Mismatch(0.14) | Ch3:Logic Conflict(1.00),0.413,0.141,1.0
52,data/images/quantity/LN_003.jpg,1.0,1,0.9414994120597839,Ch1:Physical Tamper(0.94),0.941,0.277,0.1
53,data/images/quantity/LN_004.jpg,1.0,1,0.8748924732208252,Ch1:Physical Tamper(0.87),0.875,0.25,0.1
